SID,validity,target,targetContrast,nonTargetContrast,swapAcc
"S0004",1,1,1,1,57.1428571428571
"S0004",2,1,1,1,35.7142857142857
"S0004",3,1,1,1,44.4444444444444
"S0004",1,1,1,0,NaN
"S0004",2,1,1,0,66.6666666666667
"S0004",3,1,1,0,50
"S0004",1,1,0,1,40
"S0004",2,1,0,1,0
"S0004",3,1,0,1,42.8571428571429
"S0004",1,1,1,0,NaN
"S0004",2,1,1,0,NaN
"S0004",3,1,1,0,NaN
"S0004",1,2,1,1,NaN
"S0004",2,2,1,1,40
"S0004",3,2,1,1,33.3333333333333
"S0004",1,2,1,0,NaN
"S0004",2,2,1,0,NaN
"S0004",3,2,1,0,80
"S0004",1,2,0,1,14.2857142857143
"S0004",2,2,0,1,33.3333333333333
"S0004",3,2,0,1,60
"S0004",1,2,1,0,NaN
"S0004",2,2,1,0,NaN
"S0004",3,2,1,0,NaN
"S0005",1,1,1,1,57.1428571428571
"S0005",2,1,1,1,35.7142857142857
"S0005",3,1,1,1,44.4444444444444
"S0005",1,1,1,0,NaN
"S0005",2,1,1,0,66.6666666666667
"S0005",3,1,1,0,50
"S0005",1,1,0,1,40
"S0005",2,1,0,1,0
"S0005",3,1,0,1,42.8571428571429
"S0005",1,1,1,0,NaN
"S0005",2,1,1,0,NaN
"S0005",3,1,1,0,NaN
"S0005",1,2,1,1,NaN
"S0005",2,2,1,1,40
"S0005",3,2,1,1,33.3333333333333
"S0005",1,2,1,0,NaN
"S0005",2,2,1,0,NaN
"S0005",3,2,1,0,80
"S0005",1,2,0,1,14.2857142857143
"S0005",2,2,0,1,33.3333333333333
"S0005",3,2,0,1,60
"S0005",1,2,1,0,NaN
"S0005",2,2,1,0,NaN
"S0005",3,2,1,0,NaN
"S0007",1,1,1,1,57.1428571428571
"S0007",2,1,1,1,35.7142857142857
"S0007",3,1,1,1,44.4444444444444
"S0007",1,1,1,0,NaN
"S0007",2,1,1,0,66.6666666666667
"S0007",3,1,1,0,50
"S0007",1,1,0,1,40
"S0007",2,1,0,1,0
"S0007",3,1,0,1,42.8571428571429
"S0007",1,1,1,0,NaN
"S0007",2,1,1,0,NaN
"S0007",3,1,1,0,NaN
"S0007",1,2,1,1,NaN
"S0007",2,2,1,1,40
"S0007",3,2,1,1,33.3333333333333
"S0007",1,2,1,0,NaN
"S0007",2,2,1,0,NaN
"S0007",3,2,1,0,80
"S0007",1,2,0,1,14.2857142857143
"S0007",2,2,0,1,33.3333333333333
"S0007",3,2,0,1,60
"S0007",1,2,1,0,NaN
"S0007",2,2,1,0,NaN
"S0007",3,2,1,0,NaN
"S0013",1,1,1,1,57.1428571428571
"S0013",2,1,1,1,35.7142857142857
"S0013",3,1,1,1,44.4444444444444
"S0013",1,1,1,0,NaN
"S0013",2,1,1,0,66.6666666666667
"S0013",3,1,1,0,50
"S0013",1,1,0,1,40
"S0013",2,1,0,1,0
"S0013",3,1,0,1,42.8571428571429
"S0013",1,1,1,0,NaN
"S0013",2,1,1,0,NaN
"S0013",3,1,1,0,NaN
"S0013",1,2,1,1,NaN
"S0013",2,2,1,1,40
"S0013",3,2,1,1,33.3333333333333
"S0013",1,2,1,0,NaN
"S0013",2,2,1,0,NaN
"S0013",3,2,1,0,80
"S0013",1,2,0,1,14.2857142857143
"S0013",2,2,0,1,33.3333333333333
"S0013",3,2,0,1,60
"S0013",1,2,1,0,NaN
"S0013",2,2,1,0,NaN
"S0013",3,2,1,0,NaN
"S0015",1,1,1,1,57.1428571428571
"S0015",2,1,1,1,35.7142857142857
"S0015",3,1,1,1,44.4444444444444
"S0015",1,1,1,0,NaN
"S0015",2,1,1,0,66.6666666666667
"S0015",3,1,1,0,50
"S0015",1,1,0,1,40
"S0015",2,1,0,1,0
"S0015",3,1,0,1,42.8571428571429
"S0015",1,1,1,0,NaN
"S0015",2,1,1,0,NaN
"S0015",3,1,1,0,NaN
"S0015",1,2,1,1,NaN
"S0015",2,2,1,1,40
"S0015",3,2,1,1,33.3333333333333
"S0015",1,2,1,0,NaN
"S0015",2,2,1,0,NaN
"S0015",3,2,1,0,80
"S0015",1,2,0,1,14.2857142857143
"S0015",2,2,0,1,33.3333333333333
"S0015",3,2,0,1,60
"S0015",1,2,1,0,NaN
"S0015",2,2,1,0,NaN
"S0015",3,2,1,0,NaN
"S0018",1,1,1,1,57.1428571428571
"S0018",2,1,1,1,35.7142857142857
"S0018",3,1,1,1,44.4444444444444
"S0018",1,1,1,0,NaN
"S0018",2,1,1,0,66.6666666666667
"S0018",3,1,1,0,50
"S0018",1,1,0,1,40
"S0018",2,1,0,1,0
"S0018",3,1,0,1,42.8571428571429
"S0018",1,1,1,0,NaN
"S0018",2,1,1,0,NaN
"S0018",3,1,1,0,NaN
"S0018",1,2,1,1,NaN
"S0018",2,2,1,1,40
"S0018",3,2,1,1,33.3333333333333
"S0018",1,2,1,0,NaN
"S0018",2,2,1,0,NaN
"S0018",3,2,1,0,80
"S0018",1,2,0,1,14.2857142857143
"S0018",2,2,0,1,33.3333333333333
"S0018",3,2,0,1,60
"S0018",1,2,1,0,NaN
"S0018",2,2,1,0,NaN
"S0018",3,2,1,0,NaN
"S0019",1,1,1,1,57.1428571428571
"S0019",2,1,1,1,35.7142857142857
"S0019",3,1,1,1,44.4444444444444
"S0019",1,1,1,0,NaN
"S0019",2,1,1,0,66.6666666666667
"S0019",3,1,1,0,50
"S0019",1,1,0,1,40
"S0019",2,1,0,1,0
"S0019",3,1,0,1,42.8571428571429
"S0019",1,1,1,0,NaN
"S0019",2,1,1,0,NaN
"S0019",3,1,1,0,NaN
"S0019",1,2,1,1,NaN
"S0019",2,2,1,1,40
"S0019",3,2,1,1,33.3333333333333
"S0019",1,2,1,0,NaN
"S0019",2,2,1,0,NaN
"S0019",3,2,1,0,80
"S0019",1,2,0,1,14.2857142857143
"S0019",2,2,0,1,33.3333333333333
"S0019",3,2,0,1,60
"S0019",1,2,1,0,NaN
"S0019",2,2,1,0,NaN
"S0019",3,2,1,0,NaN
"S0070",1,1,1,1,57.1428571428571
"S0070",2,1,1,1,35.7142857142857
"S0070",3,1,1,1,44.4444444444444
"S0070",1,1,1,0,NaN
"S0070",2,1,1,0,66.6666666666667
"S0070",3,1,1,0,50
"S0070",1,1,0,1,40
"S0070",2,1,0,1,0
"S0070",3,1,0,1,42.8571428571429
"S0070",1,1,1,0,NaN
"S0070",2,1,1,0,NaN
"S0070",3,1,1,0,NaN
"S0070",1,2,1,1,NaN
"S0070",2,2,1,1,40
"S0070",3,2,1,1,33.3333333333333
"S0070",1,2,1,0,NaN
"S0070",2,2,1,0,NaN
"S0070",3,2,1,0,80
"S0070",1,2,0,1,14.2857142857143
"S0070",2,2,0,1,33.3333333333333
"S0070",3,2,0,1,60
"S0070",1,2,1,0,NaN
"S0070",2,2,1,0,NaN
"S0070",3,2,1,0,NaN
"S0071",1,1,1,1,57.1428571428571
"S0071",2,1,1,1,35.7142857142857
"S0071",3,1,1,1,44.4444444444444
"S0071",1,1,1,0,NaN
"S0071",2,1,1,0,66.6666666666667
"S0071",3,1,1,0,50
"S0071",1,1,0,1,40
"S0071",2,1,0,1,0
"S0071",3,1,0,1,42.8571428571429
"S0071",1,1,1,0,NaN
"S0071",2,1,1,0,NaN
"S0071",3,1,1,0,NaN
"S0071",1,2,1,1,NaN
"S0071",2,2,1,1,40
"S0071",3,2,1,1,33.3333333333333
"S0071",1,2,1,0,NaN
"S0071",2,2,1,0,NaN
"S0071",3,2,1,0,80
"S0071",1,2,0,1,14.2857142857143
"S0071",2,2,0,1,33.3333333333333
"S0071",3,2,0,1,60
"S0071",1,2,1,0,NaN
"S0071",2,2,1,0,NaN
"S0071",3,2,1,0,NaN
"S0085",1,1,1,1,57.1428571428571
"S0085",2,1,1,1,35.7142857142857
"S0085",3,1,1,1,44.4444444444444
"S0085",1,1,1,0,NaN
"S0085",2,1,1,0,66.6666666666667
"S0085",3,1,1,0,50
"S0085",1,1,0,1,40
"S0085",2,1,0,1,0
"S0085",3,1,0,1,42.8571428571429
"S0085",1,1,1,0,NaN
"S0085",2,1,1,0,NaN
"S0085",3,1,1,0,NaN
"S0085",1,2,1,1,NaN
"S0085",2,2,1,1,40
"S0085",3,2,1,1,33.3333333333333
"S0085",1,2,1,0,NaN
"S0085",2,2,1,0,NaN
"S0085",3,2,1,0,80
"S0085",1,2,0,1,14.2857142857143
"S0085",2,2,0,1,33.3333333333333
"S0085",3,2,0,1,60
"S0085",1,2,1,0,NaN
"S0085",2,2,1,0,NaN
"S0085",3,2,1,0,NaN
"S0105",1,1,1,1,57.1428571428571
"S0105",2,1,1,1,35.7142857142857
"S0105",3,1,1,1,44.4444444444444
"S0105",1,1,1,0,NaN
"S0105",2,1,1,0,66.6666666666667
"S0105",3,1,1,0,50
"S0105",1,1,0,1,40
"S0105",2,1,0,1,0
"S0105",3,1,0,1,42.8571428571429
"S0105",1,1,1,0,NaN
"S0105",2,1,1,0,NaN
"S0105",3,1,1,0,NaN
"S0105",1,2,1,1,NaN
"S0105",2,2,1,1,40
"S0105",3,2,1,1,33.3333333333333
"S0105",1,2,1,0,NaN
"S0105",2,2,1,0,NaN
"S0105",3,2,1,0,80
"S0105",1,2,0,1,14.2857142857143
"S0105",2,2,0,1,33.3333333333333
"S0105",3,2,0,1,60
"S0105",1,2,1,0,NaN
"S0105",2,2,1,0,NaN
"S0105",3,2,1,0,NaN
"S0108",1,1,1,1,57.1428571428571
"S0108",2,1,1,1,35.7142857142857
"S0108",3,1,1,1,44.4444444444444
"S0108",1,1,1,0,NaN
"S0108",2,1,1,0,66.6666666666667
"S0108",3,1,1,0,50
"S0108",1,1,0,1,40
"S0108",2,1,0,1,0
"S0108",3,1,0,1,42.8571428571429
"S0108",1,1,1,0,NaN
"S0108",2,1,1,0,NaN
"S0108",3,1,1,0,NaN
"S0108",1,2,1,1,NaN
"S0108",2,2,1,1,40
"S0108",3,2,1,1,33.3333333333333
"S0108",1,2,1,0,NaN
"S0108",2,2,1,0,NaN
"S0108",3,2,1,0,80
"S0108",1,2,0,1,14.2857142857143
"S0108",2,2,0,1,33.3333333333333
"S0108",3,2,0,1,60
"S0108",1,2,1,0,NaN
"S0108",2,2,1,0,NaN
"S0108",3,2,1,0,NaN
"S0111",1,1,1,1,57.1428571428571
"S0111",2,1,1,1,35.7142857142857
"S0111",3,1,1,1,44.4444444444444
"S0111",1,1,1,0,NaN
"S0111",2,1,1,0,66.6666666666667
"S0111",3,1,1,0,50
"S0111",1,1,0,1,40
"S0111",2,1,0,1,0
"S0111",3,1,0,1,42.8571428571429
"S0111",1,1,1,0,NaN
"S0111",2,1,1,0,NaN
"S0111",3,1,1,0,NaN
"S0111",1,2,1,1,NaN
"S0111",2,2,1,1,40
"S0111",3,2,1,1,33.3333333333333
"S0111",1,2,1,0,NaN
"S0111",2,2,1,0,NaN
"S0111",3,2,1,0,80
"S0111",1,2,0,1,14.2857142857143
"S0111",2,2,0,1,33.3333333333333
"S0111",3,2,0,1,60
"S0111",1,2,1,0,NaN
"S0111",2,2,1,0,NaN
"S0111",3,2,1,0,NaN
"S0122",1,1,1,1,57.1428571428571
"S0122",2,1,1,1,35.7142857142857
"S0122",3,1,1,1,44.4444444444444
"S0122",1,1,1,0,NaN
"S0122",2,1,1,0,66.6666666666667
"S0122",3,1,1,0,50
"S0122",1,1,0,1,40
"S0122",2,1,0,1,0
"S0122",3,1,0,1,42.8571428571429
"S0122",1,1,1,0,NaN
"S0122",2,1,1,0,NaN
"S0122",3,1,1,0,NaN
"S0122",1,2,1,1,NaN
"S0122",2,2,1,1,40
"S0122",3,2,1,1,33.3333333333333
"S0122",1,2,1,0,NaN
"S0122",2,2,1,0,NaN
"S0122",3,2,1,0,80
"S0122",1,2,0,1,14.2857142857143
"S0122",2,2,0,1,33.3333333333333
"S0122",3,2,0,1,60
"S0122",1,2,1,0,NaN
"S0122",2,2,1,0,NaN
"S0122",3,2,1,0,NaN
"S0133",1,1,1,1,57.1428571428571
"S0133",2,1,1,1,35.7142857142857
"S0133",3,1,1,1,44.4444444444444
"S0133",1,1,1,0,NaN
"S0133",2,1,1,0,66.6666666666667
"S0133",3,1,1,0,50
"S0133",1,1,0,1,40
"S0133",2,1,0,1,0
"S0133",3,1,0,1,42.8571428571429
"S0133",1,1,1,0,NaN
"S0133",2,1,1,0,NaN
"S0133",3,1,1,0,NaN
"S0133",1,2,1,1,NaN
"S0133",2,2,1,1,40
"S0133",3,2,1,1,33.3333333333333
"S0133",1,2,1,0,NaN
"S0133",2,2,1,0,NaN
"S0133",3,2,1,0,80
"S0133",1,2,0,1,14.2857142857143
"S0133",2,2,0,1,33.3333333333333
"S0133",3,2,0,1,60
"S0133",1,2,1,0,NaN
"S0133",2,2,1,0,NaN
"S0133",3,2,1,0,NaN
